nohup: ignoring input
../../ex/epivan/base/pseknc_II_lam5_w1_k6_n3_rf_base created !!!
../../ex/epivan/base/pseknc_II_lam5_w1_k6_n3_rf_base/rank created !!!
experiment: GM12878 pseknc_II_lam5_w1_k6_n3_rf
trainSet len:[X=76020,y=76020]
testSet len:[X=4431,y=4431]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 14, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
[fit 1/34] END n_estimators=10; total=4431, TP=119, TN=4172, FP=48, FN=92; precision=0.713, recall=0.564
accuracy: (test=0.976) average_precision: (test=0.737) balanced_accuracy: (test=0.787) f1: (test=0.695) roc_auc: (test=0.923) 1.04min
[fit 14/34] END n_estimators=140; total=4431, TP=120, TN=4197, FP=23, FN=91; precision=0.839, recall=0.569
accuracy: (test=0.974) average_precision: (test=0.727) balanced_accuracy: (test=0.782) f1: (test=0.678) roc_auc: (test=0.908) 1.10min
[fit 15/34] END n_estimators=150; total=4431, TP=127, TN=4195, FP=25, FN=84; precision=0.836, recall=0.602
accuracy: (test=0.975) average_precision: (test=0.743) balanced_accuracy: (test=0.798) f1: (test=0.700) roc_auc: (test=0.916) 1.20min
[fit 16/34] END n_estimators=160; total=4431, TP=126, TN=4206, FP=14, FN=85; precision=0.900, recall=0.597
accuracy: (test=0.978) average_precision: (test=0.744) balanced_accuracy: (test=0.797) f1: (test=0.718) roc_auc: (test=0.916) 1.27min
[fit 17/34] END n_estimators=170; total=4431, TP=122, TN=4195, FP=25, FN=89; precision=0.830, recall=0.578
accuracy: (test=0.974) average_precision: (test=0.733) balanced_accuracy: (test=0.786) f1: (test=0.682) roc_auc: (test=0.912) 1.34min
[fit 18/34] END n_estimators=180; total=4431, TP=125, TN=4199, FP=21, FN=86; precision=0.856, recall=0.592
accuracy: (test=0.976) average_precision: (test=0.743) balanced_accuracy: (test=0.794) f1: (test=0.700) roc_auc: (test=0.923) 1.42min
[fit 19/34] END n_estimators=190; total=4431, TP=123, TN=4198, FP=22, FN=88; precision=0.848, recall=0.583
accuracy: (test=0.975) average_precision: (test=0.741) balanced_accuracy: (test=0.789) f1: (test=0.691) roc_auc: (test=0.923) 1.52min
[fit 20/34] END n_estimators=200; total=4431, TP=126, TN=4199, FP=21, FN=85; precision=0.857, recall=0.597
accuracy: (test=0.976) average_precision: (test=0.748) balanced_accuracy: (test=0.796) f1: (test=0.704) roc_auc: (test=0.924) 1.57min
[fit 21/34] END n_estimators=210; total=4431, TP=124, TN=4197, FP=23, FN=87; precision=0.844, recall=0.588
accuracy: (test=0.975) average_precision: (test=0.741) balanced_accuracy: (test=0.791) f1: (test=0.693) roc_auc: (test=0.924) 1.68min
[fit 22/34] END n_estimators=220; total=4431, TP=124, TN=4193, FP=27, FN=87; precision=0.821, recall=0.588
accuracy: (test=0.974) average_precision: (test=0.740) balanced_accuracy: (test=0.791) f1: (test=0.685) roc_auc: (test=0.923) 1.75min
[fit 23/34] END n_estimators=230; total=4431, TP=124, TN=4201, FP=19, FN=87; precision=0.867, recall=0.588
accuracy: (test=0.976) average_precision: (test=0.746) balanced_accuracy: (test=0.792) f1: (test=0.701) roc_auc: (test=0.932) 1.80min
[fit 24/34] END n_estimators=240; total=4431, TP=125, TN=4201, FP=19, FN=86; precision=0.868, recall=0.592
accuracy: (test=0.976) average_precision: (test=0.747) balanced_accuracy: (test=0.794) f1: (test=0.704) roc_auc: (test=0.926) 1.88min
[fit 25/34] END n_estimators=250; total=4431, TP=120, TN=4197, FP=23, FN=91; precision=0.839, recall=0.569
accuracy: (test=0.974) average_precision: (test=0.736) balanced_accuracy: (test=0.782) f1: (test=0.678) roc_auc: (test=0.920) 1.94min
[fit 26/34] END n_estimators=260; total=4431, TP=126, TN=4199, FP=21, FN=85; precision=0.857, recall=0.597
accuracy: (test=0.976) average_precision: (test=0.742) balanced_accuracy: (test=0.796) f1: (test=0.704) roc_auc: (test=0.918) 2.05min
[fit 27/34] END n_estimators=270; total=4431, TP=124, TN=4200, FP=20, FN=87; precision=0.861, recall=0.588
accuracy: (test=0.976) average_precision: (test=0.744) balanced_accuracy: (test=0.791) f1: (test=0.699) roc_auc: (test=0.923) 2.10min
[fit 28/34] END n_estimators=280; total=4431, TP=125, TN=4196, FP=24, FN=86; precision=0.839, recall=0.592
accuracy: (test=0.975) average_precision: (test=0.743) balanced_accuracy: (test=0.793) f1: (test=0.694) roc_auc: (test=0.925) 2.17min
[fit 29/34] END n_estimators=290; total=4431, TP=124, TN=4202, FP=18, FN=87; precision=0.873, recall=0.588
accuracy: (test=0.976) average_precision: (test=0.741) balanced_accuracy: (test=0.792) f1: (test=0.703) roc_auc: (test=0.920) 2.25min
[fit 30/34] END n_estimators=300; total=4431, TP=121, TN=4198, FP=22, FN=90; precision=0.846, recall=0.573
accuracy: (test=0.975) average_precision: (test=0.740) balanced_accuracy: (test=0.784) f1: (test=0.684) roc_auc: (test=0.916) 2.34min
[fit 31/34] END n_estimators=310; total=4431, TP=122, TN=4202, FP=18, FN=89; precision=0.871, recall=0.578
accuracy: (test=0.976) average_precision: (test=0.741) balanced_accuracy: (test=0.787) f1: (test=0.695) roc_auc: (test=0.922) 2.42min
[fit 32/34] END n_estimators=320; total=4431, TP=121, TN=4197, FP=23, FN=90; precision=0.840, recall=0.573
accuracy: (test=0.974) average_precision: (test=0.744) balanced_accuracy: (test=0.784) f1: (test=0.682) roc_auc: (test=0.926) 2.50min
[fit 33/34] END n_estimators=330; total=4431, TP=120, TN=4198, FP=22, FN=91; precision=0.845, recall=0.569
accuracy: (test=0.974) average_precision: (test=0.744) balanced_accuracy: (test=0.782) f1: (test=0.680) roc_auc: (test=0.926) 2.58min
[fit 34/34] END n_estimators=340; total=4431, TP=120, TN=4195, FP=25, FN=91; precision=0.828, recall=0.569
accuracy: (test=0.974) average_precision: (test=0.746) balanced_accuracy: (test=0.781) f1: (test=0.674) roc_auc: (test=0.924) 2.65min
clf.best_estimator_params: {'n_estimators': 230}
best params found in line [24] for metric [roc_auc] in rank file
best params found in fit [23] for metric [roc_auc] in run_and_score file
clf.best_scoring_result: [Total: (test=4431) TP: (test=124.000) TN: (test=4201.000) FP: (test=19.000) FN: (test=87.000) precision: (test=0.867) recall: (test=0.588) accuracy: (test=0.976) average_precision: (test=0.746) balanced_accuracy: (test=0.792) f1: (test=0.701) roc_auc: (test=0.932) ]
write rank test to csv!!!
write over!!!
第二次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 230, 'n_jobs': 14, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 150 fits
[fit 1/150] END max_depth=None; total=4431, TP=127, TN=4201, FP=19, FN=84; precision=0.870, recall=0.602
accuracy: (test=0.977) average_precision: (test=0.751) balanced_accuracy: (test=0.799) f1: (test=0.711) roc_auc: (test=0.924) 1.83min
[fit 2/150] END max_depth=1; total=4431, TP=138, TN=2097, FP=2123, FN=73; precision=0.061, recall=0.654
accuracy: (test=0.504) average_precision: (test=0.082) balanced_accuracy: (test=0.575) f1: (test=0.112) roc_auc: (test=0.607) 13.68s
[fit 3/150] END max_depth=2; total=4431, TP=133, TN=2241, FP=1979, FN=78; precision=0.063, recall=0.630
accuracy: (test=0.536) average_precision: (test=0.104) balanced_accuracy: (test=0.581) f1: (test=0.115) roc_auc: (test=0.623) 22.36s
[fit 4/150] END max_depth=3; total=4431, TP=130, TN=2515, FP=1705, FN=81; precision=0.071, recall=0.616
accuracy: (test=0.597) average_precision: (test=0.110) balanced_accuracy: (test=0.606) f1: (test=0.127) roc_auc: (test=0.656) 30.41s
[fit 5/150] END max_depth=4; total=4431, TP=129, TN=2723, FP=1497, FN=82; precision=0.079, recall=0.611
accuracy: (test=0.644) average_precision: (test=0.167) balanced_accuracy: (test=0.628) f1: (test=0.140) roc_auc: (test=0.699) 38.20s
[fit 6/150] END max_depth=5; total=4431, TP=132, TN=3026, FP=1194, FN=79; precision=0.100, recall=0.626
accuracy: (test=0.713) average_precision: (test=0.193) balanced_accuracy: (test=0.671) f1: (test=0.172) roc_auc: (test=0.752) 45.15s
[fit 7/150] END max_depth=6; total=4431, TP=141, TN=3355, FP=865, FN=70; precision=0.140, recall=0.668
accuracy: (test=0.789) average_precision: (test=0.275) balanced_accuracy: (test=0.732) f1: (test=0.232) roc_auc: (test=0.798) 50.82s
[fit 8/150] END max_depth=7; total=4431, TP=140, TN=3625, FP=595, FN=71; precision=0.190, recall=0.664
accuracy: (test=0.850) average_precision: (test=0.330) balanced_accuracy: (test=0.761) f1: (test=0.296) roc_auc: (test=0.822) 56.80s
[fit 9/150] END max_depth=8; total=4431, TP=144, TN=3862, FP=358, FN=67; precision=0.287, recall=0.682
accuracy: (test=0.904) average_precision: (test=0.421) balanced_accuracy: (test=0.799) f1: (test=0.404) roc_auc: (test=0.858) 1.02min
[fit 10/150] END max_depth=9; total=4431, TP=143, TN=3990, FP=230, FN=68; precision=0.383, recall=0.678
accuracy: (test=0.933) average_precision: (test=0.477) balanced_accuracy: (test=0.812) f1: (test=0.490) roc_auc: (test=0.877) 1.09min
[fit 11/150] END max_depth=10; total=4431, TP=146, TN=4037, FP=183, FN=65; precision=0.444, recall=0.692
accuracy: (test=0.944) average_precision: (test=0.543) balanced_accuracy: (test=0.824) f1: (test=0.541) roc_auc: (test=0.888) 1.16min
[fit 12/150] END max_depth=11; total=4431, TP=141, TN=4092, FP=128, FN=70; precision=0.524, recall=0.668
accuracy: (test=0.955) average_precision: (test=0.595) balanced_accuracy: (test=0.819) f1: (test=0.588) roc_auc: (test=0.898) 1.23min
[fit 13/150] END max_depth=12; total=4431, TP=141, TN=4108, FP=112, FN=70; precision=0.557, recall=0.668
accuracy: (test=0.959) average_precision: (test=0.628) balanced_accuracy: (test=0.821) f1: (test=0.608) roc_auc: (test=0.901) 1.31min
[fit 14/150] END max_depth=13; total=4431, TP=140, TN=4135, FP=85, FN=71; precision=0.622, recall=0.664
accuracy: (test=0.965) average_precision: (test=0.651) balanced_accuracy: (test=0.822) f1: (test=0.642) roc_auc: (test=0.898) 1.33min
[fit 15/150] END max_depth=14; total=4431, TP=144, TN=4145, FP=75, FN=67; precision=0.658, recall=0.682
accuracy: (test=0.968) average_precision: (test=0.685) balanced_accuracy: (test=0.832) f1: (test=0.670) roc_auc: (test=0.906) 1.38min
[fit 16/150] END max_depth=15; total=4431, TP=138, TN=4155, FP=65, FN=73; precision=0.680, recall=0.654
accuracy: (test=0.969) average_precision: (test=0.702) balanced_accuracy: (test=0.819) f1: (test=0.667) roc_auc: (test=0.912) 1.41min
[fit 17/150] END max_depth=16; total=4431, TP=137, TN=4156, FP=64, FN=74; precision=0.682, recall=0.649
accuracy: (test=0.969) average_precision: (test=0.704) balanced_accuracy: (test=0.817) f1: (test=0.665) roc_auc: (test=0.908) 1.45min
[fit 18/150] END max_depth=17; total=4431, TP=137, TN=4159, FP=61, FN=74; precision=0.692, recall=0.649
accuracy: (test=0.970) average_precision: (test=0.716) balanced_accuracy: (test=0.817) f1: (test=0.670) roc_auc: (test=0.912) 1.50min
[fit 19/150] END max_depth=18; total=4431, TP=140, TN=4160, FP=60, FN=71; precision=0.700, recall=0.664
accuracy: (test=0.970) average_precision: (test=0.716) balanced_accuracy: (test=0.825) f1: (test=0.681) roc_auc: (test=0.917) 1.51min
[fit 20/150] END max_depth=19; total=4431, TP=140, TN=4164, FP=56, FN=71; precision=0.714, recall=0.664
accuracy: (test=0.971) average_precision: (test=0.727) balanced_accuracy: (test=0.825) f1: (test=0.688) roc_auc: (test=0.921) 1.57min
[fit 21/150] END max_depth=20; total=4431, TP=129, TN=4171, FP=49, FN=82; precision=0.725, recall=0.611
accuracy: (test=0.970) average_precision: (test=0.731) balanced_accuracy: (test=0.800) f1: (test=0.663) roc_auc: (test=0.922) 1.59min
[fit 22/150] END max_depth=21; total=4431, TP=130, TN=4174, FP=46, FN=81; precision=0.739, recall=0.616
accuracy: (test=0.971) average_precision: (test=0.724) balanced_accuracy: (test=0.803) f1: (test=0.672) roc_auc: (test=0.912) 1.59min
[fit 23/150] END max_depth=22; total=4431, TP=131, TN=4173, FP=47, FN=80; precision=0.736, recall=0.621
accuracy: (test=0.971) average_precision: (test=0.736) balanced_accuracy: (test=0.805) f1: (test=0.674) roc_auc: (test=0.926) 1.63min
[fit 24/150] END max_depth=23; total=4431, TP=129, TN=4180, FP=40, FN=82; precision=0.763, recall=0.611
accuracy: (test=0.972) average_precision: (test=0.734) balanced_accuracy: (test=0.801) f1: (test=0.679) roc_auc: (test=0.916) 1.64min
[fit 25/150] END max_depth=24; total=4431, TP=128, TN=4183, FP=37, FN=83; precision=0.776, recall=0.607
accuracy: (test=0.973) average_precision: (test=0.739) balanced_accuracy: (test=0.799) f1: (test=0.681) roc_auc: (test=0.924) 1.65min
[fit 26/150] END max_depth=25; total=4431, TP=126, TN=4186, FP=34, FN=85; precision=0.787, recall=0.597
accuracy: (test=0.973) average_precision: (test=0.738) balanced_accuracy: (test=0.795) f1: (test=0.679) roc_auc: (test=0.922) 1.66min
[fit 27/150] END max_depth=26; total=4431, TP=128, TN=4183, FP=37, FN=83; precision=0.776, recall=0.607
accuracy: (test=0.973) average_precision: (test=0.737) balanced_accuracy: (test=0.799) f1: (test=0.681) roc_auc: (test=0.913) 1.68min
[fit 28/150] END max_depth=27; total=4431, TP=125, TN=4185, FP=35, FN=86; precision=0.781, recall=0.592
accuracy: (test=0.973) average_precision: (test=0.738) balanced_accuracy: (test=0.792) f1: (test=0.674) roc_auc: (test=0.925) 1.67min
[fit 29/150] END max_depth=28; total=4431, TP=128, TN=4189, FP=31, FN=83; precision=0.805, recall=0.607
accuracy: (test=0.974) average_precision: (test=0.740) balanced_accuracy: (test=0.800) f1: (test=0.692) roc_auc: (test=0.923) 1.69min
[fit 30/150] END max_depth=29; total=4431, TP=128, TN=4192, FP=28, FN=83; precision=0.821, recall=0.607
accuracy: (test=0.975) average_precision: (test=0.745) balanced_accuracy: (test=0.800) f1: (test=0.698) roc_auc: (test=0.927) 1.72min
[fit 31/150] END max_depth=30; total=4431, TP=125, TN=4191, FP=29, FN=86; precision=0.812, recall=0.592
accuracy: (test=0.974) average_precision: (test=0.742) balanced_accuracy: (test=0.793) f1: (test=0.685) roc_auc: (test=0.921) 1.72min
[fit 32/150] END max_depth=31; total=4431, TP=124, TN=4185, FP=35, FN=87; precision=0.780, recall=0.588
accuracy: (test=0.972) average_precision: (test=0.735) balanced_accuracy: (test=0.790) f1: (test=0.670) roc_auc: (test=0.925) 1.73min
[fit 33/150] END max_depth=32; total=4431, TP=125, TN=4192, FP=28, FN=86; precision=0.817, recall=0.592
accuracy: (test=0.974) average_precision: (test=0.739) balanced_accuracy: (test=0.793) f1: (test=0.687) roc_auc: (test=0.925) 1.75min
[fit 34/150] END max_depth=33; total=4431, TP=131, TN=4193, FP=27, FN=80; precision=0.829, recall=0.621
accuracy: (test=0.976) average_precision: (test=0.747) balanced_accuracy: (test=0.807) f1: (test=0.710) roc_auc: (test=0.921) 1.74min
[fit 35/150] END max_depth=34; total=4431, TP=126, TN=4187, FP=33, FN=85; precision=0.792, recall=0.597
accuracy: (test=0.973) average_precision: (test=0.744) balanced_accuracy: (test=0.795) f1: (test=0.681) roc_auc: (test=0.931) 1.76min
[fit 36/150] END max_depth=35; total=4431, TP=123, TN=4189, FP=31, FN=88; precision=0.799, recall=0.583
accuracy: (test=0.973) average_precision: (test=0.742) balanced_accuracy: (test=0.788) f1: (test=0.674) roc_auc: (test=0.925) 1.75min
[fit 37/150] END max_depth=36; total=4431, TP=125, TN=4191, FP=29, FN=86; precision=0.812, recall=0.592
accuracy: (test=0.974) average_precision: (test=0.742) balanced_accuracy: (test=0.793) f1: (test=0.685) roc_auc: (test=0.924) 1.75min
[fit 38/150] END max_depth=37; total=4431, TP=123, TN=4195, FP=25, FN=88; precision=0.831, recall=0.583
accuracy: (test=0.974) average_precision: (test=0.743) balanced_accuracy: (test=0.789) f1: (test=0.685) roc_auc: (test=0.918) 1.77min
[fit 39/150] END max_depth=38; total=4431, TP=122, TN=4194, FP=26, FN=89; precision=0.824, recall=0.578
accuracy: (test=0.974) average_precision: (test=0.743) balanced_accuracy: (test=0.786) f1: (test=0.680) roc_auc: (test=0.921) 1.77min
[fit 40/150] END max_depth=39; total=4431, TP=129, TN=4192, FP=28, FN=82; precision=0.822, recall=0.611
accuracy: (test=0.975) average_precision: (test=0.749) balanced_accuracy: (test=0.802) f1: (test=0.701) roc_auc: (test=0.923) 1.77min
[fit 41/150] END max_depth=40; total=4431, TP=123, TN=4195, FP=25, FN=88; precision=0.831, recall=0.583
accuracy: (test=0.974) average_precision: (test=0.743) balanced_accuracy: (test=0.789) f1: (test=0.685) roc_auc: (test=0.921) 1.77min
[fit 42/150] END max_depth=41; total=4431, TP=125, TN=4195, FP=25, FN=86; precision=0.833, recall=0.592
accuracy: (test=0.975) average_precision: (test=0.740) balanced_accuracy: (test=0.793) f1: (test=0.693) roc_auc: (test=0.916) 1.77min
[fit 43/150] END max_depth=42; total=4431, TP=126, TN=4196, FP=24, FN=85; precision=0.840, recall=0.597
accuracy: (test=0.975) average_precision: (test=0.746) balanced_accuracy: (test=0.796) f1: (test=0.698) roc_auc: (test=0.924) 1.78min
[fit 44/150] END max_depth=43; total=4431, TP=125, TN=4197, FP=23, FN=86; precision=0.845, recall=0.592
accuracy: (test=0.975) average_precision: (test=0.746) balanced_accuracy: (test=0.793) f1: (test=0.696) roc_auc: (test=0.924) 1.77min
[fit 45/150] END max_depth=44; total=4431, TP=122, TN=4196, FP=24, FN=89; precision=0.836, recall=0.578
accuracy: (test=0.974) average_precision: (test=0.741) balanced_accuracy: (test=0.786) f1: (test=0.683) roc_auc: (test=0.914) 1.78min
[fit 46/150] END max_depth=45; total=4431, TP=124, TN=4200, FP=20, FN=87; precision=0.861, recall=0.588
accuracy: (test=0.976) average_precision: (test=0.742) balanced_accuracy: (test=0.791) f1: (test=0.699) roc_auc: (test=0.916) 1.79min
[fit 47/150] END max_depth=46; total=4431, TP=124, TN=4196, FP=24, FN=87; precision=0.838, recall=0.588
accuracy: (test=0.975) average_precision: (test=0.748) balanced_accuracy: (test=0.791) f1: (test=0.691) roc_auc: (test=0.929) 1.80min
[fit 48/150] END max_depth=47; total=4431, TP=126, TN=4202, FP=18, FN=85; precision=0.875, recall=0.597
accuracy: (test=0.977) average_precision: (test=0.749) balanced_accuracy: (test=0.796) f1: (test=0.710) roc_auc: (test=0.927) 1.77min
[fit 49/150] END max_depth=48; total=4431, TP=126, TN=4195, FP=25, FN=85; precision=0.834, recall=0.597
accuracy: (test=0.975) average_precision: (test=0.741) balanced_accuracy: (test=0.796) f1: (test=0.696) roc_auc: (test=0.920) 1.79min
[fit 50/150] END max_depth=49; total=4431, TP=124, TN=4194, FP=26, FN=87; precision=0.827, recall=0.588
accuracy: (test=0.974) average_precision: (test=0.742) balanced_accuracy: (test=0.791) f1: (test=0.687) roc_auc: (test=0.922) 1.81min
[fit 51/150] END max_depth=50; total=4431, TP=126, TN=4201, FP=19, FN=85; precision=0.869, recall=0.597
accuracy: (test=0.977) average_precision: (test=0.749) balanced_accuracy: (test=0.796) f1: (test=0.708) roc_auc: (test=0.927) 1.79min
[fit 52/150] END max_depth=51; total=4431, TP=123, TN=4198, FP=22, FN=88; precision=0.848, recall=0.583
accuracy: (test=0.975) average_precision: (test=0.749) balanced_accuracy: (test=0.789) f1: (test=0.691) roc_auc: (test=0.925) 1.81min
[fit 53/150] END max_depth=52; total=4431, TP=124, TN=4199, FP=21, FN=87; precision=0.855, recall=0.588
accuracy: (test=0.976) average_precision: (test=0.747) balanced_accuracy: (test=0.791) f1: (test=0.697) roc_auc: (test=0.928) 1.78min
[fit 54/150] END max_depth=53; total=4431, TP=123, TN=4197, FP=23, FN=88; precision=0.842, recall=0.583
accuracy: (test=0.975) average_precision: (test=0.743) balanced_accuracy: (test=0.789) f1: (test=0.689) roc_auc: (test=0.922) 1.81min
[fit 55/150] END max_depth=54; total=4431, TP=124, TN=4193, FP=27, FN=87; precision=0.821, recall=0.588
accuracy: (test=0.974) average_precision: (test=0.742) balanced_accuracy: (test=0.791) f1: (test=0.685) roc_auc: (test=0.928) 1.81min
[fit 56/150] END max_depth=55; total=4431, TP=120, TN=4195, FP=25, FN=91; precision=0.828, recall=0.569
accuracy: (test=0.974) average_precision: (test=0.736) balanced_accuracy: (test=0.781) f1: (test=0.674) roc_auc: (test=0.924) 1.79min
[fit 57/150] END max_depth=56; total=4431, TP=125, TN=4195, FP=25, FN=86; precision=0.833, recall=0.592
accuracy: (test=0.975) average_precision: (test=0.747) balanced_accuracy: (test=0.793) f1: (test=0.693) roc_auc: (test=0.930) 1.79min
[fit 58/150] END max_depth=57; total=4431, TP=124, TN=4197, FP=23, FN=87; precision=0.844, recall=0.588
accuracy: (test=0.975) average_precision: (test=0.741) balanced_accuracy: (test=0.791) f1: (test=0.693) roc_auc: (test=0.919) 1.89min
[fit 59/150] END max_depth=58; total=4431, TP=124, TN=4196, FP=24, FN=87; precision=0.838, recall=0.588
accuracy: (test=0.975) average_precision: (test=0.744) balanced_accuracy: (test=0.791) f1: (test=0.691) roc_auc: (test=0.923) 1.84min
[fit 60/150] END max_depth=59; total=4431, TP=126, TN=4193, FP=27, FN=85; precision=0.824, recall=0.597
accuracy: (test=0.975) average_precision: (test=0.746) balanced_accuracy: (test=0.795) f1: (test=0.692) roc_auc: (test=0.927) 1.81min
[fit 61/150] END max_depth=60; total=4431, TP=123, TN=4197, FP=23, FN=88; precision=0.842, recall=0.583
accuracy: (test=0.975) average_precision: (test=0.739) balanced_accuracy: (test=0.789) f1: (test=0.689) roc_auc: (test=0.916) 1.81min
[fit 62/150] END max_depth=61; total=4431, TP=118, TN=4197, FP=23, FN=93; precision=0.837, recall=0.559
accuracy: (test=0.974) average_precision: (test=0.742) balanced_accuracy: (test=0.777) f1: (test=0.670) roc_auc: (test=0.922) 1.81min
[fit 63/150] END max_depth=62; total=4431, TP=122, TN=4196, FP=24, FN=89; precision=0.836, recall=0.578
accuracy: (test=0.974) average_precision: (test=0.744) balanced_accuracy: (test=0.786) f1: (test=0.683) roc_auc: (test=0.926) 1.82min
[fit 64/150] END max_depth=63; total=4431, TP=121, TN=4196, FP=24, FN=90; precision=0.834, recall=0.573
accuracy: (test=0.974) average_precision: (test=0.741) balanced_accuracy: (test=0.784) f1: (test=0.680) roc_auc: (test=0.915) 1.81min
[fit 65/150] END max_depth=64; total=4431, TP=123, TN=4193, FP=27, FN=88; precision=0.820, recall=0.583
accuracy: (test=0.974) average_precision: (test=0.744) balanced_accuracy: (test=0.788) f1: (test=0.681) roc_auc: (test=0.921) 1.80min
[fit 66/150] END max_depth=65; total=4431, TP=127, TN=4200, FP=20, FN=84; precision=0.864, recall=0.602
accuracy: (test=0.977) average_precision: (test=0.742) balanced_accuracy: (test=0.799) f1: (test=0.709) roc_auc: (test=0.919) 1.82min
[fit 67/150] END max_depth=66; total=4431, TP=127, TN=4198, FP=22, FN=84; precision=0.852, recall=0.602
accuracy: (test=0.976) average_precision: (test=0.749) balanced_accuracy: (test=0.798) f1: (test=0.706) roc_auc: (test=0.925) 1.83min
